snapshot_date,underlying,direction,score,reason,call_volume,put_volume,total_volume,call_share,put_share,put_call_ratio,direction_x_base,total_x_base,prior_direction,direction_share_base,reversal_bonus,history_days
2026-07-17,US.FIG,CALL,57.16,CALL 占比 93%; 暂无历史基线,71372,5457,76829,0.929,0.071,0.0765,,,,,,0
2026-07-17,US.BBAI,CALL,53.52,CALL 占比 84%; 暂无历史基线,16379,3168,19547,0.8379,0.1621,0.1934,,,,,,0
2026-07-17,US.DUOL,CALL,51.82,CALL 占比 80%; 暂无历史基线,3032,780,3812,0.7954,0.2046,0.2573,,,,,,0
2026-07-17,US.OPEN,CALL,51.4,CALL 占比 78%; 暂无历史基线,42598,11669,54267,0.785,0.215,0.2739,,,,,,0
2026-07-17,US.SMCI,CALL,51.08,CALL 占比 78%; 暂无历史基线,136503,39193,175696,0.7769,0.2231,0.2871,,,,,,0
2026-07-17,US.MARA,CALL,50.43,CALL 占比 76%; 暂无历史基线,140076,44062,184138,0.7607,0.2393,0.3146,,,,,,0
2026-07-17,US.GDS,CALL,50.42,CALL 占比 76%; 暂无历史基线,543,171,714,0.7605,0.2395,0.3149,,,,,,0
2026-07-17,US.ORCL,CALL,50.38,CALL 占比 76%; 暂无历史基线,297662,94320,391982,0.7594,0.2406,0.3169,,,,,,0
2026-07-17,US.COIN,CALL,49.4,CALL 占比 74%; 暂无历史基线,113674,40970,154644,0.7351,0.2649,0.3604,,,,,,0
2026-07-17,US.MSTR,CALL,49.39,CALL 占比 73%; 暂无历史基线,347538,125501,473039,0.7347,0.2653,0.3611,,,,,,0
2026-07-17,US.UVXY,CALL,49.23,CALL 占比 73%; 暂无历史基线,37337,13753,51090,0.7308,0.2692,0.3683,,,,,,0
2026-07-17,US.APLD,CALL,48.87,CALL 占比 72%; 暂无历史基线,43603,16816,60419,0.7217,0.2783,0.3857,,,,,,0
2026-07-17,US.NOK,CALL,48.74,CALL 占比 72%; 暂无历史基线,144355,56535,200890,0.7186,0.2814,0.3916,,,,,,0
2026-07-17,US.MSFT,CALL,48.7,CALL 占比 72%; 暂无历史基线,347317,136706,484023,0.7176,0.2824,0.3936,,,,,,0
2026-07-17,US.CRM,CALL,48.68,CALL 占比 72%; 暂无历史基线,31187,12306,43493,0.7171,0.2829,0.3946,,,,,,0
2026-07-17,US.META,CALL,48.51,CALL 占比 71%; 暂无历史基线,598941,241327,840268,0.7128,0.2872,0.4029,,,,,,0
2026-07-17,US.AMZN,CALL,47.98,CALL 占比 70%; 暂无历史基线,349701,150133,499834,0.6996,0.3004,0.4293,,,,,,0
2026-07-17,US.SNOW,CALL,47.58,CALL 占比 69%; 暂无历史基线,21393,9635,31028,0.6895,0.3105,0.4504,,,,,,0
2026-07-17,US.HOOD,CALL,47.47,CALL 占比 69%; 暂无历史基线,168306,76753,245059,0.6868,0.3132,0.456,,,,,,0
2026-07-17,US.SOFI,CALL,47.39,CALL 占比 68%; 暂无历史基线,193134,88911,282045,0.6848,0.3152,0.4604,,,,,,0
2026-07-17,US.DDOG,CALL,47.35,CALL 占比 68%; 暂无历史基线,9727,4497,14224,0.6838,0.3162,0.4623,,,,,,0
2026-07-17,US.EUV,CALL,47.32,CALL 占比 68%; 暂无历史基线,871,404,1275,0.6831,0.3169,0.4638,,,,,,0
2026-07-17,US.CRWV,CALL,47.3,CALL 占比 68%; 暂无历史基线,124757,58049,182806,0.6825,0.3175,0.4653,,,,,,0
2026-07-17,US.RDDT,CALL,46.68,CALL 占比 67%; 暂无历史基线,16100,8035,24135,0.6671,0.3329,0.4991,,,,,,0
2026-07-17,US.FOTO,PUT,46.43,PUT 占比 66%; 暂无历史基线,115,224,339,0.3392,0.6608,1.9478,,,,,,0
2026-07-17,US.NVDA,CALL,46.38,CALL 占比 66%; 暂无历史基线,2083074,1075156,3158230,0.6596,0.3404,0.5161,,,,,,0
2026-07-17,US.IWM,PUT,46.19,PUT 占比 65%; 暂无历史基线,430982,817434,1248416,0.3452,0.6548,1.8967,,,,,,0
2026-07-17,US.MRVL,CALL,45.98,CALL 占比 65%; 暂无历史基线,121706,65674,187380,0.6495,0.3505,0.5396,,,,,,0
2026-07-17,US.NOW,CALL,45.98,CALL 占比 65%; 暂无历史基线,47520,25649,73169,0.6495,0.3505,0.5398,,,,,,0
2026-07-17,US.BABA,CALL,45.9,CALL 占比 65%; 暂无历史基线,80841,44028,124869,0.6474,0.3526,0.5446,,,,,,0
2026-07-17,US.GOOGL,CALL,45.89,CALL 占比 65%; 暂无历史基线,268843,146568,415411,0.6472,0.3528,0.5452,,,,,,0
2026-07-17,US.CRWD,CALL,45.71,CALL 占比 64%; 暂无历史基线,49132,27312,76444,0.6427,0.3573,0.5559,,,,,,0
2026-07-17,US.IBM,CALL,45.68,CALL 占比 64%; 暂无历史基线,79907,44560,124467,0.642,0.358,0.5576,,,,,,0
2026-07-17,US.IBIT,CALL,45.42,CALL 占比 64%; 暂无历史基线,258766,148342,407108,0.6356,0.3644,0.5733,,,,,,0
2026-07-17,US.PANW,CALL,45.14,CALL 占比 63%; 暂无历史基线,15735,9304,25039,0.6284,0.3716,0.5913,,,,,,0
2026-07-17,US.CBRS,CALL,44.98,CALL 占比 62%; 暂无历史基线,17436,10482,27918,0.6245,0.3755,0.6012,,,,,,0
2026-07-17,US.CRCL,CALL,44.98,CALL 占比 62%; 暂无历史基线,49790,29923,79713,0.6246,0.3754,0.601,,,,,,0
2026-07-17,US.SOUN,CALL,44.87,CALL 占比 62%; 暂无历史基线,17358,10558,27916,0.6218,0.3782,0.6082,,,,,,0
2026-07-17,US.YINN,CALL,44.56,CALL 占比 61%; 暂无历史基线,2261,1422,3683,0.6139,0.3861,0.6289,,,,,,0
2026-07-17,US.DRAM,CALL,44.55,CALL 占比 61%; 暂无历史基线,264304,166320,430624,0.6138,0.3862,0.6293,,,,,,0
2026-07-17,US.PLTR,CALL,44.07,CALL 占比 60%; 暂无历史基线,223245,147767,371012,0.6017,0.3983,0.6619,,,,,,0
2026-07-17,US.TEAM,CALL,43.64,CALL 占比 59%; 暂无历史基线,1982,1372,3354,0.5909,0.4091,0.6922,,,,,,0
2026-07-17,US.SAP,CALL,43.31,CALL 占比 58%; 暂无历史基线,951,681,1632,0.5827,0.4173,0.7161,,,,,,0
2026-07-17,US.OKLO,CALL,43.08,CALL 占比 58%; 暂无历史基线,20544,15052,35596,0.5771,0.4229,0.7327,,,,,,0
2026-07-17,US.IGV,PUT,43.05,PUT 占比 58%; 暂无历史基线,10926,14854,25780,0.4238,0.5762,1.3595,,,,,,0
2026-07-17,US.TSM,PUT,43.04,PUT 占比 58%; 暂无历史基线,83240,113050,196290,0.4241,0.5759,1.3581,,,,,,0
2026-07-17,US.AAPL,CALL,42.99,CALL 占比 57%; 暂无历史基线,920816,681169,1601985,0.5748,0.4252,0.7397,,,,,,0
2026-07-17,US.AMD,CALL,42.92,CALL 占比 57%; 暂无历史基线,279498,208323,487821,0.573,0.427,0.7453,,,,,,0
2026-07-17,US.FUTU,PUT,42.59,PUT 占比 56%; 暂无历史基线,2526,3278,5804,0.4352,0.5648,1.2977,,,,,,0
2026-07-17,US.MDB,PUT,42.43,PUT 占比 56%; 暂无历史基线,3094,3950,7044,0.4392,0.5608,1.2767,,,,,,0
2026-07-17,US.INTU,CALL,42.18,CALL 占比 55%; 暂无历史基线,6233,5008,11241,0.5545,0.4455,0.8035,,,,,,0
2026-07-17,US.HPE,CALL,42.04,CALL 占比 55%; 暂无历史基线,6833,5568,12401,0.551,0.449,0.8149,,,,,,0
2026-07-17,US.GFS,PUT,41.95,PUT 占比 55%; 暂无历史基线,1759,2139,3898,0.4513,0.5487,1.216,,,,,,0
2026-07-17,US.IREN,PUT,41.93,PUT 占比 55%; 暂无历史基线,125339,152072,277411,0.4518,0.5482,1.2133,,,,,,0
2026-07-17,US.GLW,CALL,41.76,CALL 占比 54%; 暂无历史基线,28596,23961,52557,0.5441,0.4559,0.8379,,,,,,0
2026-07-17,US.QCOM,CALL,41.74,CALL 占比 54%; 暂无历史基线,35373,29711,65084,0.5435,0.4565,0.8399,,,,,,0
2026-07-17,US.AVGO,CALL,41.72,CALL 占比 54%; 暂无历史基线,100612,84707,185319,0.5429,0.4571,0.8419,,,,,,0
2026-07-17,US.UPST,CALL,41.6,CALL 占比 54%; 暂无历史基线,7754,6602,14356,0.5401,0.4599,0.8514,,,,,,0
2026-07-17,US.NET,CALL,41.51,CALL 占比 54%; 暂无历史基线,6595,5668,12263,0.5378,0.4622,0.8594,,,,,,0
2026-07-17,US.COHR,PUT,41.48,PUT 占比 54%; 暂无历史基线,7192,8337,15529,0.4631,0.5369,1.1592,,,,,,0
2026-07-17,US.INTC,CALL,41.43,CALL 占比 54%; 暂无历史基线,421951,365777,787728,0.5357,0.4643,0.8669,,,,,,0
2026-07-17,US.VST,CALL,41.15,CALL 占比 53%; 暂无历史基线,7770,6926,14696,0.5287,0.4713,0.8914,,,,,,0
2026-07-17,US.NBIS,CALL,40.95,CALL 占比 52%; 暂无历史基线,116401,105843,222244,0.5238,0.4762,0.9093,,,,,,0
2026-07-17,US.BE,PUT,40.82,PUT 占比 52%; 暂无历史基线,54901,59626,114527,0.4794,0.5206,1.0861,,,,,,0
2026-07-17,US.TSLA,CALL,40.5,CALL 占比 51%; 暂无历史基线,1044064,993019,2037083,0.5125,0.4875,0.9511,,,,,,0
2026-07-17,US.GEV,PUT,40.42,PUT 占比 51%; 暂无历史基线,7024,7324,14348,0.4895,0.5105,1.0427,,,,,,0
2026-07-17,US.DELL,PUT,40.23,PUT 占比 51%; 暂无历史基线,47545,48647,96192,0.4943,0.5057,1.0232,,,,,,0
2026-07-17,US.LITE,PUT,40.22,PUT 占比 51%; 暂无历史基线,12307,12582,24889,0.4945,0.5055,1.0223,,,,,,0
2026-07-17,US.TWLO,PUT,40.21,PUT 占比 51%; 暂无历史基线,2075,2119,4194,0.4948,0.5052,1.0212,,,,,,0
2026-07-17,US.ASML,PUT,40.14,PUT 占比 50%; 暂无历史基线,10713,10858,21571,0.4966,0.5034,1.0135,,,,,,0
2026-07-16,US.OKLO,PUT,105.11,"PUT 占比 82%; PUT 较基线 7.0x; 总量较基线 3.0x; 方向反转 CALL->PUT, 占比提升 48%",17238,80827,98065,0.1758,0.8242,4.6889,6.982,2.962,CALL,0.3451,14.37,6
2026-07-16,US.ORCL,PUT,79.62,"PUT 占比 60%; PUT 较基线 4.3x; 总量较基线 1.8x; 方向反转 CALL->PUT, 占比提升 36%",158002,239619,397621,0.3974,0.6026,1.5166,4.262,1.778,CALL,0.2441,10.76,6
2026-07-16,US.GFS,PUT,72.96,PUT 占比 66%; PUT 较基线 3.8x; 总量较基线 2.8x,3646,7053,10699,0.3408,0.6592,1.9344,3.76,2.751,CALL,0.4694,,6
2026-07-16,US.FIG,CALL,71.98,CALL 占比 91%; CALL 较基线 2.6x; 总量较基线 2.4x,163130,15221,178351,0.9147,0.0853,0.0933,2.608,2.422,CALL,0.7924,,6
