snapshot_date,underlying,call_volume,put_volume,total_volume,call_share,put_share,put_call_ratio,contracts_seen
2026-05-27,US.AAPL,503835,142047,645882,0.7801,0.2199,0.2819,200
2026-05-27,US.AIFC,294,10,304,0.9671,0.0329,0.034,78
2026-05-27,US.AMD,137880,93076,230956,0.597,0.403,0.6751,200
2026-05-27,US.AMZN,386239,82085,468324,0.8247,0.1753,0.2125,200
2026-05-27,US.APLD,97985,30595,128580,0.7621,0.2379,0.3122,200
2026-05-27,US.ASML,7714,6831,14545,0.5304,0.4696,0.8855,200
2026-05-27,US.ASX,11987,676,12663,0.9466,0.0534,0.0564,200
2026-05-27,US.AVGO,63619,47007,110626,0.5751,0.4249,0.7389,200
2026-05-27,US.BABA,47834,18398,66232,0.7222,0.2778,0.3846,200
2026-05-27,US.BBAI,103420,8791,112211,0.9217,0.0783,0.085,200
2026-05-27,US.BMNR,73184,23056,96240,0.7604,0.2396,0.315,200
2026-05-27,US.CBRS,21045,9709,30754,0.6843,0.3157,0.4613,200
2026-05-27,US.CLBT,290,553,843,0.344,0.656,1.9069,104
2026-05-27,US.COHR,3948,6638,10586,0.3729,0.6271,1.6814,200
2026-05-27,US.COIN,119435,43740,163175,0.7319,0.2681,0.3662,200
2026-05-27,US.CRCL,35980,12783,48763,0.7379,0.2621,0.3553,200
2026-05-27,US.CRWV,77670,82307,159977,0.4855,0.5145,1.0597,200
2026-05-27,US.CVX,19915,10553,30468,0.6536,0.3464,0.5299,200
2026-05-27,US.DELL,23882,19039,42921,0.5564,0.4436,0.7972,200
2026-05-27,US.DJT,14876,2534,17410,0.8545,0.1455,0.1703,200
2026-05-27,US.DUOL,2387,2864,5251,0.4546,0.5454,1.1998,200
2026-05-27,US.EWT,22786,2269,25055,0.9094,0.0906,0.0996,200
2026-05-27,US.FCX,18638,7280,25918,0.7191,0.2809,0.3906,200
2026-05-27,US.GDS,377,385,762,0.4948,0.5052,1.0212,200
2026-05-27,US.GEMI,2639,2730,5369,0.4915,0.5085,1.0345,200
2026-05-27,US.GEV,5123,6686,11809,0.4338,0.5662,1.3051,200
2026-05-27,US.GOOGL,119565,56833,176398,0.6778,0.3222,0.4753,200
2026-05-27,US.HOOD,135555,46330,181885,0.7453,0.2547,0.3418,200
2026-05-27,US.IBIT,158606,157209,315815,0.5022,0.4978,0.9912,200
2026-05-27,US.IBM,42394,9153,51547,0.8224,0.1776,0.2159,200
2026-05-27,US.IGV,30441,11881,42322,0.7193,0.2807,0.3903,200
2026-05-27,US.INTC,240598,129969,370567,0.6493,0.3507,0.5402,200
2026-05-27,US.IREN,446626,211604,658230,0.6785,0.3215,0.4738,200
2026-05-27,US.IWM,163841,872467,1036308,0.1581,0.8419,5.3251,200
2026-05-27,US.JD,13131,4038,17169,0.7648,0.2352,0.3075,200
2026-05-27,US.KC,885,117,1002,0.8832,0.1168,0.1322,140
2026-05-27,US.LI,12367,6732,19099,0.6475,0.3525,0.5444,200
2026-05-27,US.LITE,12030,9280,21310,0.5645,0.4355,0.7714,200
2026-05-27,US.MARA,57499,41481,98980,0.5809,0.4191,0.7214,200
2026-05-27,US.META,428723,71008,499731,0.8579,0.1421,0.1656,200
2026-05-27,US.MP,10489,4706,15195,0.6903,0.3097,0.4487,200
2026-05-27,US.MRNA,11293,2832,14125,0.7995,0.2005,0.2508,200
2026-05-27,US.MRVL,142695,121273,263968,0.5406,0.4594,0.8499,200
2026-05-27,US.MSFT,224833,54540,279373,0.8048,0.1952,0.2426,200
2026-05-27,US.MSTR,146795,126217,273012,0.5377,0.4623,0.8598,200
2026-05-27,US.NBIS,53899,68863,122762,0.4391,0.5609,1.2776,200
2026-05-27,US.NET,4242,4988,9230,0.4596,0.5404,1.1759,200
2026-05-27,US.NOW,116000,28742,144742,0.8014,0.1986,0.2478,200
2026-05-27,US.NVDA,1542454,376226,1918680,0.8039,0.1961,0.2439,200
2026-05-27,US.OKLO,37797,12909,50706,0.7454,0.2546,0.3415,200
2026-05-27,US.OPEN,162752,15463,178215,0.9132,0.0868,0.095,200
2026-05-27,US.ORCL,93394,40197,133591,0.6991,0.3009,0.4304,200
2026-05-27,US.PANW,15287,12553,27840,0.5491,0.4509,0.8212,200
2026-05-27,US.PDD,92854,70003,162857,0.5702,0.4298,0.7539,200
2026-05-27,US.PLTR,280817,92697,373514,0.7518,0.2482,0.3301,200
2026-05-27,US.QCOM,122375,47019,169394,0.7224,0.2776,0.3842,200
2026-05-27,US.QQQ,612137,884154,1496291,0.4091,0.5909,1.4444,200
2026-05-27,US.RBRK,2486,631,3117,0.7976,0.2024,0.2538,200
2026-05-27,US.RDDT,43290,10396,53686,0.8064,0.1936,0.2401,200
2026-05-27,US.REMX,181,156,337,0.5371,0.4629,0.8619,200
2026-05-27,US.RXRX,88501,1052,89553,0.9883,0.0117,0.0119,200
2026-05-27,US.SBET,24136,1683,25819,0.9348,0.0652,0.0697,200
2026-05-27,US.SCO,0,0,0,0.0,0.0,0.0,0
2026-05-27,US.SMCI,156416,39579,195995,0.7981,0.2019,0.253,200
2026-05-27,US.SOFI,261559,74242,335801,0.7789,0.2211,0.2838,200
2026-05-27,US.SOUN,33865,10197,44062,0.7686,0.2314,0.3011,200
2026-05-27,US.SOXL,56030,72285,128315,0.4367,0.5633,1.2901,200
2026-05-27,US.SOXS,235058,59506,294564,0.798,0.202,0.2532,200
2026-05-27,US.SPY,908350,1174144,2082494,0.4362,0.5638,1.2926,200
2026-05-27,US.SQQQ,53792,10086,63878,0.8421,0.1579,0.1875,200
2026-05-27,US.SVIX,863,1522,2385,0.3618,0.6382,1.7636,200
2026-05-27,US.TIGR,14516,8421,22937,0.6329,0.3671,0.5801,200
2026-05-27,US.TMF,10575,5774,16349,0.6468,0.3532,0.546,200
2026-05-27,US.TNA,6234,12578,18812,0.3314,0.6686,2.0176,200
2026-05-27,US.TSLA,918717,331362,1250079,0.7349,0.2651,0.3607,200
2026-05-27,US.TSM,91487,63110,154597,0.5918,0.4082,0.6898,200
2026-05-27,US.TWLO,2866,502,3368,0.851,0.149,0.1752,200
2026-05-27,US.UPST,11381,4442,15823,0.7193,0.2807,0.3903,200
2026-05-27,US.UVXY,18252,6586,24838,0.7348,0.2652,0.3608,200
2026-05-27,US.VST,13933,16211,30144,0.4622,0.5378,1.1635,200
2026-05-27,US.XOM,41594,19810,61404,0.6774,0.3226,0.4763,200
2026-05-27,US.XYF,0,0,0,0.0,0.0,0.0,0
2026-05-27,US.YINN,4675,1816,6491,0.7202,0.2798,0.3884,200
2026-05-28,US.AAPL,424620,124573,549193,0.7732,0.2268,0.2934,200
2026-05-28,US.ADSK,9753,7618,17371,0.5615,0.4385,0.7811,200
2026-05-28,US.AIFC,281,23,304,0.9243,0.0757,0.0819,78
2026-05-28,US.AMD,231704,81843,313547,0.739,0.261,0.3532,200
2026-05-28,US.AMZN,400438,84346,484784,0.826,0.174,0.2106,200
