snapshot_date,underlying,option_code,option_type,strike,volume,turnover,open_interest,implied_volatility,premium
2026-05-29,US.AAPL,US.AAPL260821C345000,CALL,345.0,69348,31525677.0,2240,0.23714,437.5
2026-05-29,US.AAPL,US.AAPL260821C320000,CALL,320.0,67016,78299239.0,72279,0.23861,1185.0
2026-05-29,US.AAPL,US.AAPL260601C315000,CALL,315.0,41291,3558604.0,8105,0.14365,51.0
2026-05-29,US.AAPL,US.AAPL260601C312500,CALL,312.5,32383,4521012.0,5756,0.14363,135.5
2026-05-29,US.AAPL,US.AAPL260605C315000,CALL,315.0,24320,5754779.0,21716,0.19772,215.0
2026-05-29,US.AAPL,US.AAPL260605C320000,CALL,320.0,20152,2008627.0,7945,0.19658,81.0
2026-05-29,US.AAPL,US.AAPL260601C310000,CALL,310.0,18753,5092215.0,5176,0.14186,281.0
2026-05-29,US.AAPL,US.AAPL260601P310000,PUT,310.0,13439,1399777.0,1359,0.15457,78.5
2026-05-29,US.AAPL,US.AAPL260605C317500,CALL,317.5,11760,1626308.0,1302,0.19724,136.0
2026-05-29,US.AAPL,US.AAPL260605C322500,CALL,322.5,11004,443192.0,825,0.19977,48.5
2026-05-29,US.ADSK,US.ADSK260717P175000,PUT,175.0,3556,558316.0,17,0.49722,92.5
2026-05-29,US.ADSK,US.ADSK260605P215000,PUT,215.0,678,158143.0,20,0.51505,115.0
2026-05-29,US.ADSK,US.ADSK260612C220000,CALL,220.0,612,682816.0,8,0.39999,1425.0
2026-05-29,US.ADSK,US.ADSK260618P227500,PUT,227.5,460,339886.0,38,0.47493,810.0
2026-05-29,US.ADSK,US.ADSK260626P210000,PUT,210.0,392,196134.0,5,0.40457,250.0
2026-05-29,US.ADSK,US.ADSK260626P165000,PUT,165.0,299,39926.0,20,0.63106,32.0
2026-05-29,US.ADSK,US.ADSK260717C250000,CALL,250.0,283,192388.0,169,0.40376,705.0
2026-05-29,US.ADSK,US.ADSK260605C240000,CALL,240.0,264,50727.0,106,0.44477,237.5
2026-05-29,US.ADSK,US.ADSK260605C235000,CALL,235.0,245,68819.0,4,0.39357,337.5
2026-05-29,US.ADSK,US.ADSK260702P165000,PUT,165.0,244,52108.0,30,0.84597,214.0
2026-05-29,US.AIFC,US.AIFC260618C1000,CALL,1.0,180,681.0,811,1.60219,7.5
2026-05-29,US.AIFC,US.AIFC280121C1000,CALL,1.0,34,1703.0,906,3.40016,82.5
2026-05-29,US.AIFC,US.AIFC280121C500,CALL,0.5,27,1717.0,113,1.06584,55.0
2026-05-29,US.AIFC,US.AIFC261120P3000,PUT,3.0,20,4260.0,47,0.0,210.0
2026-05-29,US.AIFC,US.AIFC260821C1500,CALL,1.5,10,50.0,804,1.34608,7.5
2026-05-29,US.AIFC,US.AIFC260821C1000,CALL,1.0,5,70.0,481,1.38447,17.5
2026-05-29,US.AIFC,US.AIFC280121C2000,CALL,2.0,3,100.0,709,1.26172,35.0
2026-05-29,US.AIFC,US.AIFC260618C500,CALL,0.5,2,40.0,41,0.0,32.5
2026-05-29,US.AIFC,US.AIFC280121C3000,CALL,3.0,1,30.0,1054,1.31216,30.0
2026-05-29,US.AIFC,US.AIFC280121C1500,CALL,1.5,1,45.0,254,1.38764,45.0
2026-05-29,US.AMD,US.AMD260605P300000,PUT,300.0,9780,107163.0,867,1.5399,11.5
2026-05-29,US.AMD,US.AMD260605C520000,CALL,520.0,6815,11889275.0,2603,0.75305,1927.5
2026-05-29,US.AMD,US.AMD270617P120000,PUT,120.0,5727,1950606.0,11877,0.84231,340.0
2026-05-29,US.AMD,US.AMD261218P170000,PUT,170.0,5522,1527210.0,12278,0.85786,282.5
2026-05-29,US.AMD,US.AMD260605P470000,PUT,470.0,5008,3334625.0,1634,0.7738,515.0
2026-05-29,US.AMD,US.AMD260605P480000,PUT,480.0,4388,3625738.0,1048,0.76305,720.0
2026-05-29,US.AMD,US.AMD260605P500000,PUT,500.0,3917,6434684.0,6032,0.74937,1332.5
2026-05-29,US.AMD,US.AMD260605P290000,PUT,290.0,3551,22551.0,6726,1.55842,7.5
2026-05-29,US.AMD,US.AMD260605P320000,PUT,320.0,3522,54790.0,391,1.46855,21.0
2026-05-29,US.AMD,US.AMD260605C550000,CALL,550.0,3505,2629760.0,3462,0.75926,900.0
2026-05-29,US.AMZN,US.AMZN260605C275000,CALL,275.0,19740,6756163.0,14892,0.2959,257.5
2026-05-29,US.AMZN,US.AMZN260601C275000,CALL,275.0,14515,1795021.0,3458,0.22129,58.5
2026-05-29,US.AMZN,US.AMZN260601C272500,CALL,272.5,12361,2148811.0,1369,0.21609,123.0
2026-05-29,US.AMZN,US.AMZN260717C300000,CALL,300.0,10436,3999658.0,67015,0.31164,347.5
2026-05-29,US.AMZN,US.AMZN260605C280000,CALL,280.0,10235,1993830.0,8781,0.30259,131.5
2026-05-29,US.AMZN,US.AMZN260618C280000,CALL,280.0,7493,3668928.0,35349,0.29882,400.0
2026-05-29,US.AMZN,US.AMZN260601P267500,PUT,267.5,7292,530962.0,693,0.21739,78.5
2026-05-29,US.AMZN,US.AMZN260605C290000,CALL,290.0,6177,399725.0,3810,0.33787,37.5
2026-05-29,US.AMZN,US.AMZN260605C277500,CALL,277.5,6162,1565731.0,1915,0.29608,182.0
2026-05-29,US.AMZN,US.AMZN260601P270000,PUT,270.0,6143,956178.0,679,0.21228,162.0
2026-05-29,US.APLD,US.APLD260618C50000,CALL,50.0,2036,673550.0,8698,1.02919,342.5
2026-05-29,US.APLD,US.APLD260618C55000,CALL,55.0,1844,355431.0,3588,1.00505,187.0
2026-05-29,US.APLD,US.APLD260605C50000,CALL,50.0,1573,246254.0,1804,1.00402,150.0
2026-05-29,US.APLD,US.APLD260605P47000,PUT,47.0,1171,296816.0,594,1.04337,249.5
2026-05-29,US.APLD,US.APLD260605C47000,CALL,47.0,1117,297498.0,417,0.97397,263.0
2026-05-29,US.APLD,US.APLD260605C52000,CALL,52.0,1076,102685.0,699,0.99716,95.0
2026-05-29,US.APLD,US.APLD260717C50000,CALL,50.0,989,588320.0,3332,0.99893,585.0
2026-05-29,US.APLD,US.APLD260605P42000,PUT,42.0,867,64429.0,732,1.04892,70.5
2026-05-29,US.APLD,US.APLD260612C46000,CALL,46.0,764,381483.0,1083,1.06288,452.5
2026-05-29,US.APLD,US.APLD260918C55000,CALL,55.0,747,614927.0,3890,1.0178,805.0
2026-05-29,US.ASML,US.ASML260605C1900000,CALL,1900.0,2306,487119.0,35,0.63378,162.5
2026-05-29,US.ASML,US.ASML260717P1500000,PUT,1500.0,1388,8806335.0,176,0.51878,6695.0
2026-05-29,US.ASML,US.ASML260618P1320000,PUT,1320.0,757,308221.0,899,0.54106,415.0
2026-05-29,US.ASML,US.ASML260821C1500000,CALL,1500.0,501,11180118.0,601,0.51169,22185.0
2026-05-29,US.ASML,US.ASML260605C1700000,CALL,1700.0,407,891221.0,130,0.5127,1500.0
2026-05-29,US.ASML,US.ASML260605C1650000,CALL,1650.0,373,1159392.0,80,0.50178,2835.0
2026-05-29,US.ASML,US.ASML260605P1500000,PUT,1500.0,355,322796.0,139,0.5168,825.0
2026-05-29,US.ASML,US.ASML260605P1540000,PUT,1540.0,325,560311.0,211,0.5093,1600.0
2026-05-29,US.ASML,US.ASML260618P1500000,PUT,1500.0,267,709301.0,1478,0.49118,2740.0
2026-05-29,US.ASML,US.ASML260618P600000,PUT,600.0,250,5463.0,968,1.94712,217.5
2026-05-29,US.ASX,US.ASX260717C50000,CALL,50.0,1658,215794.0,1134,0.83647,145.0
2026-05-29,US.ASX,US.ASX270115P35000,PUT,35.0,918,615060.0,22,0.74147,655.0
2026-05-29,US.ASX,US.ASX260618C42500,CALL,42.5,801,114061.0,10326,0.79018,135.0
2026-05-29,US.ASX,US.ASX260618C47500,CALL,47.5,407,27814.0,5571,0.84788,60.0
2026-05-29,US.ASX,US.ASX260618C40000,CALL,40.0,313,72903.0,1909,0.89175,250.0
2026-05-29,US.ASX,US.ASX260618C37500,CALL,37.5,310,98512.0,10532,0.76009,315.0
2026-05-29,US.ASX,US.ASX260918C40000,CALL,40.0,170,103634.0,3099,0.76611,595.0
2026-05-29,US.ASX,US.ASX260618C45000,CALL,45.0,157,14981.0,1414,0.80221,85.0
2026-05-29,US.ASX,US.ASX260618P35000,PUT,35.0,76,8882.0,990,0.7108,107.5
2026-05-29,US.ASX,US.ASX260717P32500,PUT,32.5,72,11951.0,93,0.69819,135.0
2026-05-29,US.AVGO,US.AVGO260605C500000,CALL,500.0,6935,3677843.0,3459,0.96865,672.5
2026-05-29,US.AVGO,US.AVGO260618C600000,CALL,600.0,6679,1056943.0,4189,0.78245,211.0
2026-05-29,US.AVGO,US.AVGO260618C550000,CALL,550.0,5447,1751057.0,714,0.7266,447.5
2026-05-29,US.AVGO,US.AVGO260601C450000,CALL,450.0,4954,1684168.0,1431,0.44832,540.0
2026-05-29,US.AVGO,US.AVGO260605C440000,CALL,440.0,4576,9774581.0,2265,0.89695,2512.5
2026-05-29,US.AVGO,US.AVGO260717C600000,CALL,600.0,4187,1785013.0,5207,0.61493,535.0
2026-05-29,US.AVGO,US.AVGO260605C450000,CALL,450.0,4072,7101097.0,3006,0.89211,2010.0
2026-05-29,US.AVGO,US.AVGO260605C430000,CALL,430.0,4021,10912098.0,4039,0.88566,3052.5
2026-05-29,US.AVGO,US.AVGO260717C650000,CALL,650.0,3771,937890.0,3965,0.64073,303.5
2026-05-29,US.AVGO,US.AVGO260601C440000,CALL,440.0,3652,2512856.0,878,0.44037,1065.0
2026-05-29,US.BABA,US.BABA260605C145000,CALL,145.0,6235,29403.0,7175,0.5725,9.0
2026-05-29,US.BABA,US.BABA260618C145000,CALL,145.0,3680,182728.0,25358,0.45659,47.5
2026-05-29,US.BABA,US.BABA260618C130000,CALL,130.0,3665,838021.0,12092,0.37892,222.5
