snapshot_date,underlying,option_code,option_type,strike,expiry,volume,turnover,direction,event_time,raw_text
2026-06-05,US.AAPL,,CALL,307.5,2026-06-12,3486,1945188.0,BUY,06-06 03:57,6.6 03:57，出现一笔买入看涨期权交易，成交量为3486张，未平仓数为668张，V/OI值为8.2，交易金额为1945188USD，合约行权价是307.5，到期日为2026/06/12
2026-06-05,US.AAPL,,CALL,315.0,2026-06-08,2495,261975.0,SELL,06-06 03:57,6.6 03:57，出现一笔卖出看涨期权交易，成交量为2495张，未平仓数为7662张，V/OI值为4.7，交易金额为261975USD，合约行权价是315，到期日为2026/06/08
2026-06-05,US.AAPL,,CALL,310.0,2026-06-18,1000,580000.0,SELL,06-06 03:55,6.6 03:55，出现一笔卖出看涨期权交易，成交量为1000张，未平仓数为42167张，V/OI值为0.3，交易金额为580000USD，合约行权价是310，到期日为2026/06/18
2026-06-05,US.AAPL,,CALL,315.0,2026-06-08,1220,144112.0,BUY,06-06 03:49,6.6 03:49，出现一笔买入看涨期权交易，成交量为1220张，未平仓数为7662张，V/OI值为4.3，交易金额为144112USD，合约行权价是315，到期日为2026/06/08
2026-06-05,US.AAPL,,CALL,307.5,2026-06-08,1000,410000.0,BUY,06-06 03:26,6.6 03:26，出现一笔买入看涨期权交易，成交量为1000张，未平仓数为249张，V/OI值为10.9，交易金额为410000USD，合约行权价是307.5，到期日为2026/06/08
2026-06-05,US.AAPL,,CALL,340.0,2026-07-10,1206,159192.0,SELL,06-06 03:21,6.6 03:21，出现一笔卖出看涨期权交易，成交量为1206张，未平仓数为226张，V/OI值为13.2，交易金额为159192USD，合约行权价是340，到期日为2026/07/10
2026-06-05,US.AAPL,,CALL,320.0,2026-07-17,1000,575000.0,SELL,06-06 03:20,6.6 03:20，出现一笔卖出看涨期权交易，成交量为1000张，未平仓数为38717张，V/OI值为0.1，交易金额为575000USD，合约行权价是320，到期日为2026/07/17
2026-06-05,US.AAPL,,CALL,300.0,2027-01-15,1374,4700960.0,SELL,06-06 03:10,6.6 03:10，出现一笔卖出看涨期权交易，成交量为1374张，未平仓数为65919张，V/OI值为0，交易金额为4700960USD，合约行权价是300，到期日为2027/01/15
2026-06-05,US.AAPL,,CALL,315.0,2026-06-12,1336,451568.0,SELL,06-06 02:54,6.6 02:54，出现一笔卖出看涨期权交易，成交量为1336张，未平仓数为10357张，V/OI值为1.5，交易金额为451568USD，合约行权价是315，到期日为2026/06/12
2026-06-05,US.AAPL,,CALL,320.0,2026-06-12,1336,261856.0,SELL,06-06 02:54,6.6 02:54，出现一笔卖出看涨期权交易，成交量为1336张，未平仓数为20817张，V/OI值为0.6，交易金额为261856USD，合约行权价是320，到期日为2026/06/12
2026-06-05,US.AAPL,,CALL,300.0,2026-06-18,4923,6498360.0,BUY,06-06 02:49,6.6 02:49，出现一笔买入看涨期权交易，成交量为4923张，未平仓数为36296张，V/OI值为0.3，交易金额为6498360USD，合约行权价是300，到期日为2026/06/18
2026-06-05,US.AAPL,,CALL,300.0,2026-06-18,2000,2640000.0,BUY,06-06 02:47,6.6 02:47，出现一笔买入看涨期权交易，成交量为2000张，未平仓数为36296张，V/OI值为0.2，交易金额为2640000USD，合约行权价是300，到期日为2026/06/18
2026-06-05,US.AAPL,,PUT,300.0,2026-06-12,1000,151101.0,SELL,06-06 02:27,6.6 02:27，出现一笔卖出看跌期权交易，成交量为1000张，未平仓数为4676张，V/OI值为1.1，交易金额为151101USD，合约行权价是300，到期日为2026/06/12
2026-06-05,US.AAPL,,PUT,300.0,2026-06-12,1000,135000.0,BUY,06-06 02:21,6.6 02:21，出现一笔买入看跌期权交易，成交量为1000张，未平仓数为4676张，V/OI值为0.9，交易金额为135000USD，合约行权价是300，到期日为2026/06/12
2026-06-05,US.AAPL,,CALL,322.5,2026-06-08,2000,118000.0,SELL,06-06 02:18,6.6 02:18，出现一笔卖出看涨期权交易，成交量为2000张，未平仓数为686张，V/OI值为9.4，交易金额为118000USD，合约行权价是322.5，到期日为2026/06/08
2026-06-05,US.AAPL,,CALL,310.0,2026-06-18,1000,770000.0,BUY,06-06 02:16,6.6 02:16，出现一笔买入看涨期权交易，成交量为1000张，未平仓数为42167张，V/OI值为0.1，交易金额为770000USD，合约行权价是310，到期日为2026/06/18
2026-06-05,US.AAPL,,PUT,305.0,2026-07-17,1000,650000.0,BUY,06-06 02:03,6.6 02:03，出现一笔买入看跌期权交易，成交量为1000张，未平仓数为3372张，V/OI值为0.7，交易金额为650000USD，合约行权价是305，到期日为2026/07/17
2026-06-05,US.AAPL,,CALL,312.5,2026-06-05,2182,141832.0,BUY,06-06 01:56,6.6 01:56，出现一笔买入看涨期权交易，成交量为2182张，未平仓数为14027张，V/OI值为6.8，交易金额为141832USD，合约行权价是312.5，到期日为2026/06/05
2026-06-05,US.AAPL,,CALL,310.0,2026-06-18,1000,743000.0,BUY,06-06 01:46,6.6 01:46，出现一笔买入看涨期权交易，成交量为1000张，未平仓数为42167张，V/OI值为0.1，交易金额为743000USD，合约行权价是310，到期日为2026/06/18
2026-06-05,US.AAPL,,CALL,312.5,2026-06-08,1422,440882.0,SELL,06-06 00:29,6.6 00:29，出现一笔卖出看涨期权交易，成交量为1422张，未平仓数为4544张，V/OI值为2.3，交易金额为440882USD，合约行权价是312.5，到期日为2026/06/08
2026-06-05,US.AAPL,,CALL,310.0,2026-07-17,1200,1488000.0,SELL,06-06 00:21,6.6 00:21，出现一笔卖出看涨期权交易，成交量为1200张，未平仓数为41602张，V/OI值为0.1，交易金额为1488000USD，合约行权价是310，到期日为2026/07/17
2026-06-05,US.AAPL,,CALL,345.0,2026-07-17,1308,224976.0,BUY,06-06 00:11,6.6 00:11，出现一笔买入看涨期权交易，成交量为1308张，未平仓数为2966张，V/OI值为0.5，交易金额为224976USD，合约行权价是345，到期日为2026/07/17
2026-06-05,US.AEHR,,PUT,80.0,2026-07-02,324,184672.0,BUY,06-06 02:43,6.6 02:43，出现一笔买入看跌期权交易，成交量为324张，未平仓数为19张，V/OI值为17.1，交易金额为184672USD，合约行权价是80，到期日为2026/07/02
2026-06-05,US.AMD,,CALL,430.0,2026-06-05,2500,10007500.0,BUY,06-06 03:28,6.6 03:28，出现一笔买入看涨期权交易，成交量为2500张，未平仓数为559张，V/OI值为4.5，交易金额为10007500USD，合约行权价是430，到期日为2026/06/05
2026-06-05,US.AMD,,PUT,320.0,2026-09-18,1400,1904000.0,SELL,06-06 03:26,6.6 03:26，出现一笔卖出看跌期权交易，成交量为1400张，未平仓数为2681张，V/OI值为0.6，交易金额为1904000USD，合约行权价是320，到期日为2026/09/18
2026-06-05,US.AMD,,PUT,390.0,2026-07-02,1000,809010.0,BUY,06-06 02:42,6.6 02:42，出现一笔买入看跌期权交易，成交量为1000张，未平仓数为119张，V/OI值为96，交易金额为809010USD，合约行权价是390，到期日为2026/07/02
2026-06-05,US.AMD,,PUT,390.0,2026-07-02,1783,1248100.0,BUY,06-06 01:44,6.6 01:44，出现一笔买入看跌期权交易，成交量为1783张，未平仓数为119张，V/OI值为72.3，交易金额为1248100USD，合约行权价是390，到期日为2026/07/02
2026-06-05,US.AMD,,PUT,390.0,2026-07-02,2379,1665300.0,BUY,06-06 01:18,6.6 01:18，出现一笔买入看跌期权交易，成交量为2379张，未平仓数为119张，V/OI值为57，交易金额为1665300USD，合约行权价是390，到期日为2026/07/02
2026-06-05,US.AMD,,PUT,390.0,2026-07-02,1467,1026900.0,SELL,06-06 01:14,6.6 01:14，出现一笔卖出看跌期权交易，成交量为1467张，未平仓数为119张，V/OI值为36.3，交易金额为1026900USD，合约行权价是390，到期日为2026/07/02
